Day,Hour,Radiation
19,8,0.207492795
19,9,0.265129683
19,10,0.570605187
19,11,0.731988473
19,12,0.786743516
19,13,0.504322767
19,14,0.391930836
19,15,0.648414986
19,16,0.570605187
19,17,0.383285303
19,18,0.175792507
19,19,0.028818444
19,20,0
20,6,0
20,7,0.031700288
20,8,0.178674352
20,9,0.360230548
20,10,0.530259366
20,11,0.694524496
20,12,0.763688761
20,13,0.625360231
20,14,0.616714697
20,15,0.593659942
20,16,0.489913545
20,17,0.311239193
20,18,0.126801153
20,19,0.020172911
20,20,0
21,6,0
21,7,0.031700288
21,8,0.158501441
21,9,0.282420749
21,10,0.507204611
21,11,0.639769452
21,12,0.608069164
21,13,0.674351585
21,14,0.720461095
21,15,0.619596542
21,16,0.492795389
21,17,0.311239193
21,18,0.121037464
21,19,0.014409222
21,20,0
22,6,0
22,7,0.020172911
22,8,0.060518732
22,9,0.30259366
22,10,0.510086455
22,11,0.665706052
22,12,0.81556196
22,13,0.688760807
22,14,0.74351585
22,15,0.677233429
22,16,0.489913545
22,17,0.345821326
22,18,0.103746398
22,19,0.017291066
22,20,0
23,6,0
23,7,0.020172911
23,8,0.077809798
23,9,0.16426513
23,10,0.30259366
23,11,0.639769452
23,12,0.631123919
23,13,0.570605187
23,14,0.841498559
23,15,0.530259366
23,16,0.530259366
23,17,0.371757925
23,18,0.187319885
23,19,0.023054755
23,20,0
24,6,0
24,7,0.031700288
24,8,0.198847262
24,9,0.458213256
24,10,0.553314121
24,11,0.536023055
24,12,0.775216138
24,13,0.841498559
24,14,0.841498559
24,15,0.832853026
24,16,0.662824207
24,17,0.429394813
24,18,0.178674352
24,19,0.025936599
24,20,0
25,6,0
25,7,0.011527378
25,8,0.09221902
25,9,0.308357349
25,10,0.515850144
25,11,0.585014409
25,12,0.858789625
25,13,0.922190202
25,14,0.786743516
25,15,0.763688761
25,16,0.582132565
25,17,0.380403458
25,18,0.181556196
25,19,0.023054755
25,20,0
26,6,0
26,7,0.023054755
26,8,0.123919308
26,9,0.170028818
26,10,0.161383285
26,11,0.270893372
26,12,0.659942363
26,13,0.726224784
26,14,0.319884726
26,15,0.043227666
26,16,0.100864553
26,17,0.158501441
26,18,0.060518732
26,19,0.011527378
26,20,0
27,6,0
27,7,0.031700288
27,8,0.178674352
27,9,0.403458213
27,10,0.602305476
27,11,0.423631124
27,12,0.279538905
27,13,0.30259366
27,14,0.207492795
27,15,0.172910663
27,16,0.308357349
27,17,0.195965418
27,18,0.089337176
27,19,0.017291066
27,20,0
28,6,0
28,7,0.028818444
28,8,0.187319885
28,9,0.406340058
28,10,0.60518732
28,11,0.755043228
28,12,0.801152738
28,13,0.458213256
28,14,0.368876081
28,15,0.354466859
28,16,0.501440922
28,17,0.239193084
28,18,0.121037464
28,19,0.011527378
28,20,0
29,6,0
29,7,0.028818444
29,8,0.18443804
29,9,0.389048991
29,10,0.57925072
29,11,0.720461095
29,12,0.755043228
29,13,0.515850144
29,14,0.668587896
29,15,0.622478386
29,16,0.438040346
29,17,0.279538905
29,18,0.095100865
29,19,0.008645533
29,20,0
30,6,0
30,7,0.025936599
30,8,0.170028818
30,9,0.380403458
30,10,0.556195965
30,11,0.645533141
30,12,0.714697406
30,13,0.518731988
30,14,0.21037464
30,15,0.095100865
30,16,0.285302594
30,17,0.293948127
30,18,0.11815562
30,19,0.011527378
30,20,0
31,6,0
31,7,0.023054755
31,8,0.063400576
31,9,0.308357349
31,10,0.458213256
31,11,0.556195965
31,12,0.853025937
31,13,0.775216138
31,14,0.763688761
31,15,0.585014409
31,16,0.515850144
31,17,0.374639769
31,18,0.161383285
31,19,0.011527378
31,20,0
32,6,0
32,7,0.025936599
32,8,0.178674352
32,9,0.386167147
32,10,0.374639769
32,11,0.69740634
32,12,0.829971182
32,13,0.867435159
32,14,0.832853026
32,15,0.731988473
32,16,0.541786744
32,17,0.319884726
32,18,0.129682997
32,19,0.008645533
32,20,0
33,6,0
33,7,0.031700288
33,8,0.175792507
33,9,0.311239193
33,10,0.498559078
33,11,0.760806916
33,12,0.867435159
33,13,0.899135447
33,14,0.847262248
33,15,0.734870317
33,16,0.553314121
33,17,0.342939481
33,18,0.13832853
33,19,0.011527378
33,20,0
34,6,0
34,7,0.025936599
34,8,0.172910663
34,9,0.314121037
34,10,0.478386167
34,11,0.723342939
34,12,0.844380403
34,13,0.876080692
34,14,0.853025937
34,15,0.688760807
34,16,0.481268012
34,17,0.322766571
34,18,0.123919308
34,19,0.008645533
34,20,0
35,6,0
35,7,0.025936599
35,8,0.167146974
35,9,0.276657061
35,10,0.389048991
35,11,0.544668588
35,12,0.680115274
35,13,0.841498559
35,14,0.824207493
35,15,0.706051873
35,16,0.521613833
35,17,0.319884726
35,18,0.11815562
35,19,0.008645533
35,20,0
36,6,0
36,7,0.020172911
36,8,0.121037464
36,9,0.25648415
36,10,0.489913545
36,11,0.694524496
36,12,0.83573487
36,13,0.873198847
36,14,0.827089337
36,15,0.708933718
36,16,0.53314121
36,17,0.317002882
36,18,0.112391931
36,19,0.008645533
36,20,0
37,6,0
37,7,0.023054755
37,8,0.16426513
37,9,0.345821326
37,10,0.527377522
37,11,0.717579251
37,12,0.504322767
37,13,0.268011527
37,14,0.345821326
37,15,0.634005764
37,16,0.461095101
37,17,0.265129683
37,18,0.103746398
37,19,0.008645533
37,20,0
38,6,0
38,7,0.020172911
38,8,0.132564841
38,9,0.299711816
38,10,0.492795389
38,11,0.46685879
38,12,0.498559078
38,13,0.337175793
38,14,0.538904899
38,15,0.507204611
38,16,0.363112392
38,17,0.13832853
38,18,0.077809798
38,19,0.005763689
38,20,0
39,6,0
39,7,0.020172911
39,8,0.13832853
39,9,0.314121037
39,10,0.492795389
39,11,0.645533141
39,12,0.363112392
39,13,0.380403458
39,14,0.236311239
39,15,0.132564841
39,16,0.144092219
39,17,0.132564841
39,18,0.060518732
39,19,0.008645533
39,20,0
40,6,0
40,7,0.020172911
40,8,0.190201729
40,9,0.291066282
40,10,0.530259366
40,11,0.625360231
40,12,0.538904899
40,13,0.628242075
40,14,0.449567723
40,15,0.331412104
40,16,0.149855908
40,17,0.146974063
40,18,0.048991354
40,19,0.002881844
40,20,0
41,6,0
41,7,0.023054755
41,8,0.158501441
41,9,0.247838617
41,10,0.403458213
41,11,0.567723343
41,12,0.495677233
41,13,0.639769452
41,14,0.481268012
41,15,0.461095101
41,16,0.282420749
41,17,0.190201729
41,18,0.083573487
41,19,0.002881844
41,20,0
42,6,0
42,7,0.025936599
42,8,0.187319885
42,9,0.345821326
42,10,0.550432277
42,11,0.590778098
42,12,0.798270893
42,13,0.46685879
42,14,0.400576369
42,15,0.654178674
42,16,0.446685879
42,17,0.244956772
42,18,0.07204611
42,19,0.005763689
42,20,0
43,6,0
43,7,0
43,8,0.002881844
43,9,0.005763689
43,10,0.011527378
43,11,0.025936599
43,12,0.086455331
43,13,0.149855908
43,14,0.305475504
43,15,0.279538905
43,16,0.354466859
43,17,0.193083573
43,18,0.066282421
43,19,0
43,20,0
44,6,0
44,7,0.014409222
44,8,0.048991354
44,9,0.11815562
44,10,0.170028818
44,11,0.443804035
44,12,0.426512968
44,13,0.556195965
44,14,0.34870317
44,15,0.25648415
44,16,0.227665706
44,17,0.083573487
44,18,0.037463977
44,19,0.002881844
44,20,0
45,6,0
45,7,0.017291066
45,8,0.149855908
45,9,0.412103746
45,10,0.541786744
45,11,0.717579251
45,12,0.780979827
45,13,0.60518732
45,14,0.602305476
45,15,0.671469741
45,16,0.567723343
45,17,0.380403458
45,18,0.13832853
45,19,0.005763689
45,20,0
46,6,0
46,7,0.031700288
46,8,0.123919308
46,9,0.403458213
46,10,0.538904899
46,11,0.763688761
46,12,0.867435159
46,13,0.884726225
46,14,0.83573487
46,15,0.708933718
46,16,0.515850144
46,17,0.317002882
46,18,0.13832853
46,19,0.008645533
46,20,0
47,6,0
47,7,0.025936599
47,8,0.175792507
47,9,0.426512968
47,10,0.550432277
47,11,0.749279539
47,12,0.423631124
47,13,0.737752161
47,14,0.806916427
47,15,0.682997118
47,16,0.46685879
47,17,0.282420749
47,18,0.100864553
47,19,0.005763689
47,20,0
48,6,0
48,7,0.011527378
48,8,0.100864553
48,9,0.354466859
48,10,0.331412104
48,11,0.472622478
48,12,0.746397695
48,13,0.783861671
48,14,0.783861671
48,15,0.608069164
48,16,0.443804035
48,17,0.279538905
48,18,0.097982709
48,19,0.002881844
48,20,0
49,6,0
49,7,0.014409222
49,8,0.028818444
49,9,0.057636888
49,10,0.547550432
49,11,0.308357349
49,12,0.123919308
49,13,0.051873199
49,14,0.037463977
49,15,0.031700288
49,16,0.025936599
49,17,0.025936599
49,18,0.023054755
49,19,0
49,20,0
50,6,0
50,7,0.002881844
50,8,0.017291066
50,9,0.034582133
50,10,0.054755043
50,11,0.043227666
50,12,0.04610951
50,13,0.040345821
50,14,0.048991354
50,15,0.057636888
50,16,0.07204611
50,17,0.025936599
50,18,0.014409222
50,19,0
50,20,0
51,6,0
51,7,0
51,8,0.005763689
51,9,0.028818444
51,10,0.028818444
51,11,0.034582133
51,12,0.04610951
51,13,0.060518732
51,14,0.054755043
51,15,0.040345821
51,16,0.023054755
51,17,0.014409222
51,18,0.008645533
51,19,0
51,20,0
52,6,0
52,7,0.002881844
52,8,0.014409222
52,9,0.07204611
52,10,0.074927954
52,11,0.097982709
52,12,0.07204611
52,13,0.103746398
52,14,0.115273775
52,15,0.057636888
52,16,0.063400576
52,17,0.008645533
52,18,0.005763689
52,19,0.002881844
52,20,0
53,6,0
53,7,0.002881844
53,8,0.002881844
53,9,0.014409222
53,10,0.126801153
53,11,0.593659942
53,12,0.524495677
53,13,0.492795389
53,14,0.400576369
53,15,0.190201729
53,16,0.25648415
53,17,0.13832853
53,18,0.054755043
53,19,0.002881844
53,20,0
54,6,0
54,7,0.011527378
54,8,0.112391931
54,9,0.342939481
54,10,0.602305476
54,11,0.463976945
54,12,0.625360231
54,13,0.481268012
54,14,0.622478386
54,15,0.44092219
54,16,0.308357349
54,17,0.282420749
54,18,0.080691643
54,19,0.002881844
54,20,0
55,6,0
55,7,0.020172911
55,8,0.095100865
55,9,0.23054755
55,10,0.221902017
55,11,0.308357349
55,12,0.34870317
55,13,0.170028818
55,14,0.213256484
55,15,0.244956772
55,16,0.4870317
55,17,0.273775216
55,18,0.066282421
55,19,0
55,20,0
56,6,0
56,7,0.028818444
56,8,0.121037464
56,9,0.42074928
56,10,0.239193084
56,11,0.463976945
56,12,0.691642651
56,13,0.783861671
56,14,0.657060519
56,15,0.541786744
56,16,0.04610951
56,17,0.095100865
56,18,0.020172911
56,19,0
56,20,0
57,6,0
57,7,0.023054755
57,8,0.170028818
57,9,0.44092219
57,10,0.449567723
57,11,0.567723343
57,12,0.783861671
57,13,0.65129683
57,14,0.778097983
57,15,0.538904899
57,16,0.149855908
57,17,0.077809798
57,18,0.017291066
57,19,0
57,20,0
58,6,0
58,7,0.005763689
58,8,0.043227666
58,9,0.13832853
58,10,0.144092219
58,11,0.161383285
58,12,0.334293948
58,13,0.403458213
58,14,0.389048991
58,15,0.23054755
58,16,0.146974063
58,17,0.089337176
58,18,0.023054755
58,19,0
58,20,0
59,6,0
59,7,0.017291066
59,8,0.172910663
59,9,0.380403458
59,10,0.527377522
59,11,0.671469741
59,12,0.809798271
59,13,0.824207493
59,14,0.616714697
59,15,0.57925072
59,16,0.435158501
59,17,0.244956772
59,18,0.063400576
59,19,0
59,20,0
60,6,0
60,7,0.023054755
60,8,0.190201729
60,9,0.400576369
60,10,0.608069164
60,11,0.729106628
60,12,0.86167147
60,13,0.858789625
60,14,0.795389049
60,15,0.536023055
60,16,0.42074928
60,17,0.268011527
60,18,0.063400576
60,19,0
60,20,0
61,6,0
61,7,0.008645533
61,8,0.106628242
61,9,0.340057637
61,10,0.599423631
61,11,0.677233429
61,12,0.720461095
61,13,0.827089337
61,14,0.806916427
61,15,0.688760807
61,16,0.44092219
61,17,0.253602305
61,18,0.04610951
61,19,0
61,20,0
62,6,0
62,7,0.017291066
62,8,0.158501441
62,9,0.368876081
62,10,0.567723343
62,11,0.720461095
62,12,0.801152738
62,13,0.818443804
62,14,0.682997118
62,15,0.610951009
62,16,0.374639769
62,17,0.219020173
62,18,0.057636888
62,19,0
62,20,0
63,6,0
63,7,0.020172911
63,8,0.178674352
63,9,0.406340058
63,10,0.613832853
63,11,0.766570605
63,12,0.841498559
63,13,0.887608069
63,14,0.855907781
63,15,0.726224784
63,16,0.510086455
63,17,0.265129683
63,18,0.063400576
63,19,0
63,20,0
64,6,0
64,7,0.020172911
64,8,0.181556196
64,9,0.400576369
64,10,0.587896254
64,11,0.74351585
64,12,0.821325648
64,13,0.775216138
64,14,0.700288184
64,15,0.55907781
64,16,0.389048991
64,17,0.201729107
64,18,0.043227666
64,19,0
64,20,0
65,6,0
65,7,0.017291066
65,8,0.152737752
65,9,0.345821326
65,10,0.561959654
65,11,0.636887608
65,12,0.677233429
65,13,0.596541787
65,14,0.524495677
65,15,0.227665706
65,16,0.345821326
65,17,0.204610951
65,18,0.043227666
65,19,0
65,20,0
66,6,0
66,7,0.017291066
66,8,0.152737752
66,9,0.345821326
66,10,0.544668588
66,11,0.688760807
66,12,0.74351585
66,13,0.740634006
66,14,0.714697406
66,15,0.389048991
66,16,0.236311239
66,17,0.227665706
66,18,0.048991354
66,19,0
66,20,0
67,6,0
67,7,0.020172911
67,8,0.181556196
67,9,0.417867435
67,10,0.613832853
67,11,0.755043228
67,12,0.838616715
67,13,0.873198847
67,14,0.806916427
67,15,0.677233429
67,16,0.495677233
67,17,0.270893372
67,18,0.066282421
67,19,0
67,20,0
68,6,0
68,7,0.017291066
68,8,0.16426513
68,9,0.365994236
68,10,0.556195965
68,11,0.708933718
68,12,0.680115274
68,13,0.78962536
68,14,0.706051873
68,15,0.4870317
68,16,0.360230548
68,17,0.18443804
68,18,0.037463977
68,19,0
68,20,0
69,6,0
69,7,0
69,8,0.054755043
69,9,0.09221902
69,10,0.135446686
69,11,0.141210375
69,12,0.141210375
69,13,0.193083573
69,14,0.144092219
69,15,0.034582133
69,16,0.020172911
69,17,0.023054755
69,18,0.008645533
69,19,0
69,20,0
70,6,0
70,7,0.005763689
70,8,0.048991354
70,9,0.109510086
70,10,0.204610951
70,11,0.363112392
70,12,0.449567723
70,13,0.39481268
70,14,0.60518732
70,15,0.530259366
70,16,0.469740634
70,17,0.244956772
70,18,0.048991354
70,19,0
70,20,0
71,6,0
71,7,0.005763689
71,8,0.054755043
71,9,0.279538905
71,10,0.492795389
71,11,0.613832853
71,12,0.582132565
71,13,0.368876081
71,14,0.21037464
71,15,0.239193084
71,16,0.144092219
71,17,0.054755043
71,18,0.014409222
71,19,0
71,20,0
72,6,0
72,7,0.005763689
72,8,0.080691643
72,9,0.170028818
72,10,0.276657061
72,11,0.478386167
72,12,0.786743516
72,13,0.902017291
72,14,0.383285303
72,15,0.429394813
72,16,0.236311239
72,17,0.190201729
72,18,0.04610951
72,19,0
72,20,0
73,6,0
73,7,0.011527378
73,8,0.077809798
73,9,0.221902017
73,10,0.383285303
73,11,0.469740634
73,12,0.720461095
73,13,0.377521614
73,14,0.317002882
73,15,0.463976945
73,16,0.253602305
73,17,0.123919308
73,18,0.020172911
73,19,0
73,20,0
74,6,0
74,7,0.011527378
74,8,0.080691643
74,9,0.253602305
74,10,0.30259366
74,11,0.299711816
74,12,0.322766571
74,13,0.181556196
74,14,0.103746398
74,15,0.233429395
74,16,0.141210375
74,17,0.037463977
74,18,0.011527378
74,19,0
74,20,0
75,6,0
75,7,0.017291066
75,8,0.07204611
75,9,0.149855908
75,10,0.334293948
75,11,0.4870317
75,12,0.481268012
75,13,0.714697406
75,14,0.524495677
75,15,0.149855908
75,16,0.239193084
75,17,0.083573487
75,18,0.002881844
75,19,0
75,20,0
76,6,0
76,7,0.017291066
76,8,0.141210375
76,9,0.221902017
76,10,0.417867435
76,11,0.674351585
76,12,0.809798271
76,13,0.435158501
76,14,0.158501441
76,15,0.239193084
76,16,0.23054755
76,17,0.083573487
76,18,0.014409222
76,19,0
76,20,0
77,6,0
77,7,0.005763689
77,8,0.07204611
77,9,0.187319885
77,10,0.213256484
77,11,0.452449568
77,12,0.717579251
77,13,0.412103746
77,14,0.642651297
77,15,0.587896254
77,16,0.374639769
77,17,0.170028818
77,18,0.028818444
77,19,0
77,20,0
78,6,0
78,7,0.014409222
78,8,0.141210375
78,9,0.340057637
78,10,0.536023055
78,11,0.685878963
78,12,0.746397695
78,13,0.726224784
78,14,0.671469741
78,15,0.556195965
78,16,0.403458213
78,17,0.195965418
78,18,0.031700288
78,19,0
78,20,0
79,6,0
79,7,0.011527378
79,8,0.13832853
79,9,0.342939481
79,10,0.541786744
79,11,0.688760807
79,12,0.760806916
79,13,0.76945245
79,14,0.700288184
79,15,0.564841499
79,16,0.368876081
79,17,0.178674352
79,18,0.028818444
79,19,0
79,20,0
80,6,0
80,7,0.011527378
80,8,0.129682997
80,9,0.296829971
80,10,0.515850144
80,11,0.668587896
80,12,0.757925072
80,13,0.76945245
80,14,0.706051873
80,15,0.57925072
80,16,0.383285303
80,17,0.172910663
80,18,0.034582133
80,19,0
80,20,0
81,6,0
81,7,0.008645533
81,8,0.066282421
81,9,0.193083573
81,10,0.273775216
81,11,0.365994236
81,12,0.219020173
81,13,0.198847262
81,14,0.207492795
81,15,0.293948127
81,16,0.167146974
81,17,0.048991354
81,18,0.020172911
81,19,0
81,20,0
82,6,0
82,7,0
82,8,0.028818444
82,9,0.100864553
82,10,0.207492795
82,11,0.299711816
82,12,0.507204611
82,13,0.536023055
82,14,0.481268012
82,15,0.293948127
82,16,0.253602305
82,17,0.07204611
82,18,0.017291066
82,19,0
82,20,0
83,6,0
83,7,0.005763689
83,8,0.048991354
83,9,0.095100865
83,10,0.089337176
83,11,0.089337176
83,12,0.268011527
83,13,0.337175793
83,14,0.089337176
83,15,0.115273775
83,16,0.141210375
83,17,0.077809798
83,18,0.031700288
83,19,0
83,20,0
84,6,0
84,7,0.008645533
84,8,0.089337176
84,9,0.201729107
84,10,0.383285303
84,11,0.409221902
84,12,0.510086455
84,13,0.567723343
84,14,0.665706052
84,15,0.585014409
84,16,0.368876081
84,17,0.190201729
84,18,0.028818444
84,19,0
84,20,0
85,6,0
85,7,0.011527378
85,8,0.086455331
85,9,0.328530259
85,10,0.518731988
85,11,0.662824207
85,12,0.740634006
85,13,0.703170029
85,14,0.452449568
85,15,0.530259366
85,16,0.386167147
85,17,0.172910663
85,18,0.028818444
85,19,0
85,20,0
86,6,0
86,7,0.002881844
86,8,0.057636888
86,9,0.236311239
86,10,0.325648415
86,11,0.602305476
86,12,0.772334294
86,13,0.775216138
86,14,0.694524496
86,15,0.582132565
86,16,0.397694524
86,17,0.193083573
86,18,0.025936599
86,19,0
86,20,0
87,6,0
87,7,0.011527378
87,8,0.141210375
87,9,0.360230548
87,10,0.567723343
87,11,0.720461095
87,12,0.809798271
87,13,0.806916427
87,14,0.726224784
87,15,0.599423631
87,16,0.414985591
87,17,0.187319885
87,18,0.023054755
87,19,0
87,20,0
88,6,0
88,7,0.008645533
88,8,0.13832853
88,9,0.34870317
88,10,0.550432277
88,11,0.69740634
88,12,0.78962536
88,13,0.786743516
88,14,0.714697406
88,15,0.582132565
88,16,0.365994236
88,17,0.167146974
88,18,0.020172911
88,19,0
88,20,0
89,6,0
89,7,0.002881844
89,8,0.057636888
89,9,0.207492795
89,10,0.530259366
89,11,0.570605187
89,12,0.65129683
89,13,0.368876081
89,14,0.305475504
89,15,0.461095101
89,16,0.262247839
89,17,0.100864553
89,18,0.023054755
89,19,0
89,20,0
90,6,0
90,7,0.002881844
90,8,0.023054755
90,9,0.043227666
90,10,0.063400576
90,11,0.187319885
90,12,0.242074928
90,13,0.247838617
90,14,0.155619597
90,15,0.152737752
90,16,0.069164265
90,17,0.034582133
90,18,0.008645533
90,19,0
90,20,0
91,6,0
91,7,0
91,8,0.011527378
91,9,0.034582133
91,10,0.031700288
91,11,0.077809798
91,12,0.054755043
91,13,0.051873199
91,14,0.07204611
91,15,0.066282421
91,16,0.034582133
91,17,0.014409222
91,18,0.002881844
91,19,0
91,20,0
92,6,0
92,7,0
92,8,0.002881844
92,9,0.014409222
92,10,0.040345821
92,11,0.11815562
92,12,0.198847262
92,13,0.262247839
92,14,0.121037464
92,15,0.158501441
92,16,0.123919308
92,17,0.063400576
92,18,0.005763689
92,19,0
92,20,0
93,6,0
93,7,0.002881844
93,8,0.051873199
93,9,0.126801153
93,10,0.172910663
93,11,0.224783862
93,12,0.146974063
93,13,0.181556196
93,14,0.089337176
93,15,0.144092219
93,16,0.233429395
93,17,0.112391931
93,18,0.020172911
93,19,0
93,20,0
94,6,0
94,7,0.002881844
94,8,0.040345821
94,9,0.172910663
94,10,0.244956772
94,11,0.305475504
94,12,0.334293948
94,13,0.507204611
94,14,0.680115274
94,15,0.570605187
94,16,0.391930836
94,17,0.18443804
94,18,0.023054755
94,19,0
94,20,0
95,6,0
95,7,0.008645533
95,8,0.13832853
95,9,0.322766571
95,10,0.219020173
95,11,0.239193084
95,12,0.334293948
95,13,0.706051873
95,14,0.654178674
95,15,0.475504323
95,16,0.371757925
95,17,0.193083573
95,18,0.025936599
95,19,0
95,20,0
96,6,0
96,7,0.002881844
96,8,0.054755043
96,9,0.149855908
96,10,0.259365994
96,11,0.429394813
96,12,0.763688761
96,13,0.749279539
96,14,0.69740634
96,15,0.573487032
96,16,0.386167147
96,17,0.181556196
96,18,0.023054755
96,19,0
96,20,0
97,6,0
97,7,0.005763689
97,8,0.074927954
97,9,0.262247839
97,10,0.484149856
97,11,0.659942363
97,12,0.602305476
97,13,0.726224784
97,14,0.668587896
97,15,0.521613833
97,16,0.285302594
97,17,0.09221902
97,18,0.014409222
97,19,0
97,20,0
98,6,0
98,7,0.002881844
98,8,0.043227666
98,9,0.07204611
98,10,0.193083573
98,11,0.423631124
98,12,0.723342939
98,13,0.729106628
98,14,0.662824207
98,15,0.515850144
98,16,0.365994236
98,17,0.16426513
98,18,0.020172911
98,19,0
98,20,0
99,6,0
99,7,0.008645533
99,8,0.028818444
99,9,0.086455331
99,10,0.080691643
99,11,0.074927954
99,12,0.239193084
99,13,0.498559078
99,14,0.380403458
99,15,0.481268012
99,16,0.30259366
99,17,0.129682997
99,18,0.014409222
99,19,0
99,20,0
100,6,0
