Day,Hour,Dir,Spd
7,14,,
7,15,140,0.228187919
7,16,130,0.181208054
7,17,120,0.11409396
7,18,130,0.080536913
7,19,140,0.073825503
7,20,120,0.060402685
7,21,,
7,22,130,0.187919463
7,23,130,0.167785235
7,24,120,0.167785235
8,1,120,0.134228188
8,2,120,0.161073826
8,3,120,0.134228188
8,4,120,0.147651007
8,5,130,0.140939597
8,6,120,0.134228188
8,7,130,0.10738255
8,8,120,0.11409396
8,9,110,0.033557047
8,10,120,0.154362416
8,11,120,0.134228188
8,12,120,0.154362416
8,13,130,0.026845638
8,14,280,0.026845638
8,15,130,0.067114094
8,16,130,0.033557047
8,17,110,0
8,18,120,0.060402685
8,19,110,0.067114094
8,20,130,0.11409396
8,21,130,0.087248322
8,22,120,0.067114094
8,23,110,0.073825503
8,24,120,0.134228188
9,1,120,0.120805369
9,2,120,0.067114094
9,3,120,0.013422819
9,4,120,0.046979866
9,5,110,0.040268456
9,6,120,0.020134228
9,7,130,0.080536913
9,8,120,0.053691275
9,9,120,0.046979866
9,10,140,0.093959732
9,11,130,0.087248322
9,12,110,0.120805369
9,13,170,0.073825503
9,14,290,0.067114094
9,15,290,0.140939597
9,16,290,0.127516779
9,17,170,0.11409396
9,18,140,0.093959732
9,19,160,0.10738255
9,20,160,0.046979866
9,21,160,0.087248322
9,22,160,0.040268456
9,23,160,0.033557047
9,24,280,0.013422819
10,1,,
10,2,290,0
10,3,290,0
10,4,290,0.040268456
10,5,330,0.040268456
10,6,320,0
10,7,130,0
10,8,120,0.040268456
10,9,120,0.060402685
10,10,120,0.067114094
10,11,140,0.11409396
10,12,100,0.013422819
10,13,270,0
10,14,280,0.040268456
10,15,100,0
10,16,130,0.067114094
10,17,160,0.11409396
10,18,120,0.134228188
10,19,130,0.120805369
10,20,120,0.100671141
10,21,130,0.073825503
10,22,120,0.053691275
10,23,130,0.020134228
10,24,220,0.067114094
11,1,290,0.053691275
11,2,290,0.006711409
11,3,300,0
11,4,330,0.013422819
11,5,30,0.020134228
11,6,30,0
11,7,110,0
11,8,110,0.046979866
11,9,140,0.087248322
11,10,,
11,11,160,0.060402685
11,12,170,0.140939597
11,13,160,0.060402685
11,14,140,0.093959732
11,15,140,0.161073826
11,16,150,0.120805369
11,17,80,0.046979866
11,18,110,0.100671141
11,19,110,0.080536913
11,20,120,0.120805369
11,21,120,0.127516779
11,22,,
11,23,120,0.093959732
11,24,110,0.11409396
12,1,130,0.127516779
12,2,110,0.11409396
12,3,110,0.167785235
12,4,,
12,5,110,0.120805369
12,6,110,0.140939597
12,7,110,0.147651007
12,8,110,0.067114094
12,9,120,0.073825503
12,10,,
12,11,40,0.10738255
12,12,70,0.093959732
12,13,110,0.026845638
12,14,110,0.033557047
12,15,290,0.026845638
12,16,50,0.053691275
12,17,120,0.087248322
12,18,110,0.093959732
12,19,120,0.161073826
12,20,120,0.147651007
12,21,120,0.147651007
12,22,120,0.087248322
12,23,120,0.11409396
12,24,120,0.11409396
13,1,120,0.10738255
13,2,120,0.080536913
13,3,120,0.046979866
13,4,120,0.080536913
13,5,120,0.093959732
13,6,120,0.10738255
13,7,120,0.060402685
13,8,120,0.093959732
13,9,120,0.080536913
13,10,140,0.060402685
13,11,150,0.040268456
13,12,280,0.10738255
13,13,280,0.053691275
13,14,270,0.046979866
13,15,270,0.080536913
13,16,280,0.087248322
13,17,270,0.11409396
13,18,290,0.087248322
13,19,290,0.087248322
13,20,290,0.067114094
13,21,290,0.040268456
13,22,290,0
13,23,290,0
13,24,130,0.006711409
14,1,,
14,2,120,0.093959732
14,3,130,0.006711409
14,4,280,0.006711409
14,5,280,0
14,6,170,0
14,7,10,0
14,8,360,0.033557047
14,9,40,0.053691275
14,10,80,0.140939597
14,11,50,0.174496644
14,12,50,0.241610738
14,13,80,0.255033557
14,14,,
14,15,120,0.275167785
14,16,80,0.288590604
14,17,100,0.275167785
14,18,80,0.288590604
14,19,,
14,20,80,0.268456376
14,21,70,0.281879195
14,22,50,0.288590604
14,23,70,0.281879195
14,24,80,0.315436242
15,1,,
15,2,,
15,3,90,0.315436242
15,4,100,0.32885906
15,5,100,0.302013423
15,6,100,0.33557047
15,7,90,0.355704698
15,8,100,0.389261745
15,9,,
15,10,100,0.422818792
15,11,100,0.382550336
15,12,110,0.362416107
15,13,110,0.543624161
15,14,120,0.55704698
15,15,120,0.691275168
15,16,120,0.597315436
15,17,120,0.718120805
15,18,120,0.66442953
15,19,120,0.644295302
15,20,120,0.570469799
15,21,120,0.55033557
15,22,120,0.496644295
15,23,130,0.55033557
15,24,130,0.637583893
16,1,140,0.644295302
16,2,140,0.617449664
16,3,140,0.651006711
16,4,140,0.530201342
16,5,140,0.456375839
16,6,140,0.583892617
16,7,140,0.476510067
16,8,140,0.476510067
16,9,140,0.476510067
16,10,140,0.369127517
16,11,140,0.402684564
16,12,140,0.429530201
16,13,,
16,14,150,0.322147651
16,15,170,0.369127517
16,16,170,0.322147651
16,17,170,0.409395973
16,18,160,0.348993289
16,19,160,0.281879195
16,20,160,0.308724832
16,21,140,0.255033557
16,22,140,0.22147651
16,23,140,0.268456376
16,24,140,0.275167785
17,1,,
17,2,,
17,3,130,0.281879195
17,4,140,0.261744966
17,5,140,0.275167785
17,6,140,0.275167785
17,7,140,0.315436242
17,8,140,0.302013423
17,9,140,0.281879195
17,10,130,0.32885906
17,11,130,0.302013423
17,12,140,0.288590604
17,13,140,0.32885906
17,14,140,0.288590604
17,15,140,0.302013423
17,16,130,0.234899329
17,17,130,0.181208054
17,18,140,0.241610738
17,19,130,0.194630872
17,20,130,0.147651007
17,21,140,0.154362416
17,22,130,0.187919463
17,23,130,0.167785235
17,24,140,0.187919463
18,1,140,0.154362416
18,2,140,0.167785235
18,3,130,0.120805369
18,4,140,0.161073826
18,5,130,0.11409396
18,6,120,0.127516779
18,7,120,0.134228188
18,8,120,0.174496644
18,9,110,0.181208054
18,10,120,0.194630872
18,11,120,0.187919463
18,12,120,0.234899329
18,13,120,0.214765101
18,14,120,0.194630872
18,15,120,0.154362416
18,16,,
18,17,120,0.154362416
18,18,120,0.174496644
18,19,120,0.140939597
18,20,120,0.073825503
18,21,110,0.040268456
18,22,110,0.053691275
18,23,120,0
18,24,280,0
19,1,290,0.026845638
19,2,280,0.020134228
19,3,290,0.073825503
19,4,270,0.013422819
19,5,270,0
19,6,280,0
19,7,280,0.060402685
19,8,270,0.100671141
19,9,270,0.053691275
19,10,280,0.120805369
19,11,270,0.174496644
19,12,270,0.181208054
19,13,270,0.181208054
19,14,270,0.167785235
19,15,290,0.161073826
19,16,270,0.161073826
19,17,270,0.187919463
19,18,270,0.167785235
19,19,270,0.161073826
19,20,290,0.046979866
19,21,300,0.006711409
19,22,310,0.026845638
19,23,290,0.026845638
19,24,270,0
20,1,270,0
20,2,270,0
20,3,280,0.080536913
20,4,280,0.006711409
20,5,270,0.020134228
20,6,270,0
20,7,270,0
20,8,270,0
20,9,280,0.033557047
20,10,270,0.154362416
20,11,270,0.140939597
20,12,270,0.161073826
20,13,270,0.147651007
20,14,280,0.154362416
20,15,300,0.040268456
20,16,290,0.067114094
20,17,290,0.134228188
20,18,290,0.080536913
20,19,290,0.11409396
20,20,330,0
20,21,110,0.006711409
20,22,290,0
20,23,270,0
20,24,140,0
21,1,290,0
21,2,290,0.006711409
21,3,340,0
21,4,280,0
21,5,290,0
21,6,330,0
21,7,290,0.060402685
21,8,280,0
21,9,280,0.053691275
21,10,270,0.140939597
21,11,270,0.134228188
21,12,270,0.10738255
21,13,130,0.046979866
21,14,130,0.154362416
21,15,120,0.134228188
21,16,120,0.080536913
21,17,110,0.080536913
21,18,190,0
21,19,280,0.013422819
21,20,290,0
21,21,120,0.080536913
21,22,120,0.134228188
21,23,120,0.120805369
21,24,110,0.013422819
22,1,170,0
22,2,270,0
22,3,290,0.033557047
22,4,270,0.026845638
22,5,150,0
22,6,120,0
22,7,110,0
22,8,110,0
22,9,110,0
22,10,130,0.040268456
22,11,150,0.134228188
22,12,150,0.174496644
22,13,160,0.10738255
22,14,130,0.154362416
22,15,130,0.22147651
22,16,130,0.302013423
22,17,130,0.201342282
22,18,140,0.167785235
22,19,120,0.22147651
22,20,120,0.248322148
22,21,120,0.214765101
22,22,120,0.201342282
22,23,120,0.167785235
22,24,120,0.167785235
23,1,120,0.187919463
23,2,120,0.147651007
23,3,130,0.147651007
23,4,120,0.167785235
23,5,120,0.120805369
23,6,100,0.093959732
23,7,110,0.127516779
23,8,120,0.120805369
23,9,120,0.134228188
23,10,120,0.194630872
23,11,120,0.241610738
23,12,130,0.261744966
23,13,120,0.194630872
23,14,130,0.248322148
23,15,120,0.214765101
23,16,120,0.214765101
23,17,120,0.201342282
23,18,120,0.22147651
23,19,120,0.22147651
23,20,120,0.194630872
23,21,120,0.22147651
23,22,130,0.201342282
23,23,120,0.214765101
23,24,120,0.214765101
24,1,130,0.201342282
24,2,130,0.187919463
24,3,130,0.214765101
24,4,120,0.187919463
24,5,120,0.174496644
24,6,120,0.147651007
24,7,120,0.161073826
24,8,120,0.147651007
24,9,120,0.248322148
24,10,120,0.214765101
24,11,120,0.22147651
24,12,120,0.241610738
24,13,120,0.22147651
24,14,130,0.248322148
24,15,140,0.248322148
24,16,140,0.234899329
24,17,130,0.208053691
24,18,120,0.181208054
24,19,130,0.154362416
24,20,120,0.187919463
24,21,120,0.134228188
24,22,120,0.194630872
24,23,120,0.161073826
24,24,130,0.181208054
25,1,,
25,2,,
25,3,120,0.147651007
25,4,120,0.134228188
25,5,120,0.100671141
25,6,120,0.174496644
25,7,100,0.100671141
25,8,110,0.147651007
25,9,120,0.127516779
25,10,120,0.268456376
25,11,120,0.228187919
25,12,120,0.208053691
25,13,120,0.201342282
25,14,120,0.234899329
25,15,120,0.22147651
25,16,120,0.201342282
25,17,130,0.174496644
25,18,110,0.174496644
25,19,120,0.161073826
25,20,130,0.174496644
25,21,120,0.167785235
25,22,110,0.147651007
25,23,120,0.147651007
25,24,100,0.093959732
26,1,80,0.067114094
26,2,120,0.060402685
26,3,130,0.147651007
26,4,120,0.134228188
26,5,80,0.100671141
26,6,80,0.046979866
26,7,120,0.11409396
26,8,100,0.10738255
26,9,120,0.154362416
26,10,120,0.187919463
26,11,120,0.140939597
26,12,130,0.127516779
26,13,140,0.134228188
26,14,270,0.053691275
26,15,280,0.046979866
26,16,170,0.013422819
26,17,300,0.026845638
26,18,290,0.161073826
26,19,300,0.154362416
26,20,300,0.140939597
26,21,290,0.087248322
26,22,290,0.053691275
26,23,290,0.140939597
26,24,290,0.060402685
27,1,280,0
27,2,280,0.100671141
27,3,270,0.046979866
27,4,280,0.033557047
27,5,360,0.067114094
27,6,50,0.087248322
27,7,30,0.053691275
27,8,70,0.040268456
27,9,50,0.087248322
27,10,40,0.093959732
27,11,110,0.040268456
27,12,10,0.087248322
27,13,270,0.040268456
27,14,270,0.087248322
27,15,280,0.11409396
27,16,270,0.093959732
27,17,270,0.087248322
27,18,180,0.020134228
27,19,140,0
27,20,290,0.026845638
27,21,290,0.093959732
27,22,290,0.10738255
27,23,290,0.10738255
27,24,290,0.067114094
28,1,290,0.013422819
28,2,270,0
28,3,290,0
28,4,20,0
28,5,50,0.073825503
28,6,20,0.100671141
28,7,40,0.073825503
28,8,20,0.134228188
28,9,20,0.201342282
28,10,20,0.167785235
28,11,20,0.181208054
28,12,280,0.073825503
28,13,270,0.10738255
28,14,280,0.080536913
28,15,280,0.080536913
28,16,290,0.140939597
28,17,280,0.154362416
28,18,280,0.100671141
28,19,260,0.11409396
28,20,280,0.080536913
28,21,270,0.060402685
28,22,270,0.026845638
28,23,270,0
28,24,290,0.013422819
29,1,280,0.033557047
29,2,280,0.006711409
29,3,290,0
29,4,280,0
29,5,270,0
29,6,270,0
29,7,270,0
29,8,270,0.026845638
29,9,280,0.046979866
29,10,290,0.020134228
29,11,20,0.046979866
29,12,280,0.026845638
29,13,270,0.046979866
29,14,260,0.093959732
29,15,270,0.154362416
29,16,110,0.067114094
29,17,160,0.134228188
29,18,160,0.080536913
29,19,170,0
29,20,290,0.013422819
29,21,280,0
29,22,290,0.073825503
29,23,290,0.100671141
29,24,280,0.040268456
30,1,290,0
30,2,290,0
30,3,290,0
30,4,290,0
30,5,290,0
30,6,300,0
30,7,280,0
30,8,290,0
30,9,280,0.060402685
30,10,280,0.093959732
30,11,270,0.167785235
30,12,270,0.140939597
30,13,270,0.11409396
30,14,270,0.067114094
30,15,270,0.013422819
30,16,130,0.067114094
30,17,110,0.120805369
30,18,120,0.10738255
30,19,120,0.067114094
30,20,120,0.060402685
30,21,130,0.046979866
30,22,140,0.10738255
30,23,140,0.11409396
30,24,150,0.073825503
31,1,120,0.10738255
31,2,140,0.053691275
31,3,140,0.040268456
31,4,140,0.040268456
31,5,120,0.154362416
31,6,120,0.093959732
31,7,120,0.053691275
31,8,120,0.067114094
31,9,120,0.120805369
31,10,130,0.147651007
31,11,120,0.194630872
31,12,120,0.248322148
31,13,120,0.194630872
31,14,130,0.208053691
31,15,130,0.22147651
31,16,130,0.208053691
31,17,120,0.22147651
31,18,130,0.167785235
31,19,120,0.187919463
31,20,120,0.167785235
31,21,120,0.154362416
31,22,120,0.120805369
31,23,120,0.167785235
31,24,120,0.134228188
32,1,110,0.140939597
32,2,100,0.161073826
32,3,110,0.100671141
32,4,90,0.10738255
32,5,90,0.11409396
32,6,90,0.127516779
32,7,110,0.100671141
32,8,60,0.120805369
32,9,90,0.161073826
32,10,120,0.234899329
32,11,120,0.234899329
32,12,120,0.288590604
32,13,120,0.268456376
32,14,120,0.288590604
32,15,120,0.261744966
32,16,120,0.261744966
32,17,120,0.268456376
32,18,120,0.275167785
32,19,120,0.248322148
32,20,130,0.194630872
32,21,130,0.161073826
32,22,120,0.154362416
32,23,120,0.140939597
32,24,110,0.11409396
33,1,100,0.093959732
33,2,90,0.087248322
33,3,110,0.040268456
33,4,70,0.127516779
33,5,100,0.11409396
33,6,70,0.147651007
33,7,80,0.174496644
33,8,100,0.167785235
33,9,100,0.201342282
33,10,90,0.194630872
33,11,120,0.234899329
33,12,120,0.228187919
33,13,130,0.261744966
33,14,130,0.22147651
33,15,130,0.255033557
33,16,130,0.241610738
33,17,140,0.174496644
33,18,130,0.174496644
33,19,140,0.134228188
33,20,120,0.181208054
33,21,120,0.181208054
33,22,120,0.174496644
33,23,120,0.073825503
33,24,120,0.127516779
34,1,70,0.093959732
34,2,90,0.093959732
34,3,120,0.120805369
34,4,110,0.087248322
34,5,100,0.046979866
34,6,90,0.067114094
34,7,90,0.093959732
34,8,80,0.100671141
34,9,60,0.100671141
34,10,110,0.140939597
34,11,120,0.214765101
34,12,130,0.255033557
34,13,120,0.234899329
34,14,130,0.288590604
34,15,120,0.241610738
34,16,120,0.22147651
34,17,110,0.181208054
34,18,110,0.194630872
34,19,120,0.208053691
34,20,110,0.194630872
34,21,120,0.187919463
34,22,110,0.181208054
34,23,120,0.134228188
34,24,120,0.11409396
35,1,120,0.147651007
35,2,120,0.127516779
35,3,120,0.120805369
35,4,120,0.120805369
35,5,120,0.060402685
35,6,120,0.046979866
35,7,90,0.053691275
35,8,80,0.100671141
35,9,110,0.154362416
35,10,120,0.194630872
35,11,120,0.208053691
35,12,120,0.214765101
35,13,120,0.234899329
35,14,120,0.194630872
35,15,120,0.214765101
35,16,140,0.214765101
35,17,130,0.194630872
35,18,120,0.208053691
35,19,120,0.174496644
35,20,120,0.208053691
35,21,120,0.208053691
35,22,120,0.214765101
35,23,120,0.167785235
35,24,120,0.154362416
36,1,110,0.154362416
36,2,110,0.147651007
36,3,130,0.154362416
36,4,130,0.120805369
36,5,120,0.087248322
36,6,110,0.080536913
36,7,120,0.161073826
36,8,120,0.187919463
36,9,120,0.187919463
36,10,120,0.208053691
36,11,120,0.241610738
36,12,120,0.234899329
36,13,120,0.214765101
36,14,150,0.241610738
36,15,150,0.275167785
36,16,150,0.288590604
36,17,140,0.234899329
36,18,130,0.154362416
36,19,120,0.194630872
36,20,120,0.187919463
36,21,120,0.174496644
36,22,120,0.154362416
36,23,120,0.127516779
36,24,120,0.134228188
37,1,120,0.067114094
37,2,110,0.120805369
37,3,110,0.127516779
37,4,110,0.120805369
37,5,120,0.100671141
37,6,110,0.033557047
37,7,110,0.100671141
37,8,110,0.080536913
37,9,120,0.127516779
37,10,120,0.11409396
37,11,130,0.10738255
37,12,160,0.067114094
37,13,270,0.100671141
37,14,130,0.040268456
37,15,300,0.093959732
37,16,270,0.134228188
37,17,270,0.120805369
37,18,270,0.10738255
37,19,270,0.033557047
37,20,280,0.026845638
37,21,290,0.020134228
37,22,280,0
37,23,280,0
37,24,290,0.053691275
38,1,,
38,2,,
38,3,290,0.080536913
38,4,290,0.087248322
38,5,270,0
38,6,280,0
38,7,270,0
38,8,280,0.006711409
38,9,290,0.093959732
38,10,280,0.040268456
38,11,270,0.127516779
38,12,270,0.120805369
38,13,270,0.11409396
38,14,270,0.120805369
38,15,270,0.10738255
38,16,270,0.127516779
38,17,270,0.093959732
38,18,270,0.134228188
38,19,270,0.127516779
38,20,290,0.033557047
38,21,270,0.093959732
38,22,270,0.087248322
38,23,270,0.127516779
38,24,270,0.073825503
39,1,280,0.067114094
39,2,290,0.093959732
39,3,280,0.067114094
39,4,280,0.033557047
39,5,270,0
39,6,300,0.020134228
39,7,360,0.033557047
39,8,,
39,9,20,0.040268456
39,10,10,0.046979866
39,11,270,0.080536913
39,12,210,0.020134228
39,13,190,0.046979866
39,14,240,0.11409396
39,15,190,0.087248322
39,16,150,0.053691275
39,17,110,0.093959732
39,18,80,0.013422819
39,19,120,0.093959732
39,20,120,0.194630872
39,21,150,0.080536913
39,22,60,0.053691275
39,23,290,0.053691275
39,24,280,0.033557047
40,1,150,0
40,2,350,0
40,3,280,0
40,4,290,0
40,5,50,0.026845638
40,6,310,0.013422819
40,7,280,0.006711409
40,8,270,0.067114094
40,9,270,0.060402685
40,10,280,0.073825503
40,11,270,0.10738255
40,12,270,0.120805369
40,13,280,0.161073826
40,14,270,0.147651007
40,15,270,0.147651007
40,16,270,0.087248322
40,17,290,0.073825503
40,18,130,0.087248322
40,19,130,0.174496644
40,20,160,0.154362416
40,21,130,0.053691275
40,22,20,0.10738255
40,23,10,0.120805369
40,24,,
41,1,30,0
41,2,180,0.073825503
41,3,170,0.134228188
41,4,140,0.10738255
41,5,140,0.100671141
41,6,130,0.080536913
41,7,110,0.020134228
41,8,120,0.020134228
41,9,140,0.154362416
41,10,160,0.140939597
41,11,140,0.174496644
41,12,,
41,13,150,0.154362416
41,14,120,0.147651007
41,15,130,0.140939597
41,16,120,0.161073826
41,17,120,0.161073826
41,18,120,0.100671141
41,19,120,0.100671141
41,20,120,0.134228188
41,21,120,0.161073826
41,22,120,0.167785235
41,23,130,0.154362416
41,24,120,0.167785235
42,1,120,0.11409396
42,2,120,0.046979866
42,3,130,0
42,4,180,0
42,5,290,0
42,6,280,0
42,7,270,0
42,8,280,0
42,9,280,0.033557047
42,10,140,0
42,11,270,0.134228188
42,12,270,0.154362416
42,13,270,0.10738255
42,14,290,0.120805369
42,15,270,0.161073826
42,16,270,0.120805369
42,17,290,0.120805369
42,18,,
42,19,80,0.11409396
42,20,20,0.040268456
42,21,170,0.033557047
42,22,90,0.167785235
42,23,50,0.208053691
42,24,50,0.302013423
43,1,50,0.33557047
43,2,50,0.44966443
43,3,40,0.429530201
43,4,60,0.483221477
43,5,70,0.624161074
43,6,70,0.644295302
43,7,110,0.697986577
43,8,110,0.912751678
43,9,120,1
43,10,130,0.872483221
43,11,140,0.765100671
43,12,140,0.483221477
43,13,140,0.436241611
43,14,140,0.342281879
43,15,140,0.308724832
43,16,140,0.295302013
43,17,140,0.255033557
43,18,130,0.248322148
43,19,120,0.261744966
43,20,110,0.295302013
43,21,120,0.255033557
43,22,120,0.261744966
43,23,120,0.255033557
43,24,120,0.234899329
44,1,120,0.241610738
44,2,130,0.241610738
44,3,120,0.241610738
44,4,,
44,5,120,0.201342282
44,6,120,0.268456376
44,7,120,0.342281879
44,8,130,0.268456376
44,9,140,0.268456376
44,10,130,0.268456376
44,11,130,0.288590604
44,12,120,0.32885906
44,13,120,0.315436242
44,14,120,0.348993289
44,15,120,0.33557047
44,16,120,0.281879195
44,17,130,0.241610738
44,18,120,0.248322148
44,19,120,0.268456376
44,20,120,0.261744966
44,21,120,0.255033557
44,22,120,0.275167785
44,23,120,0.275167785
44,24,120,0.261744966
45,1,120,0.261744966
45,2,120,0.214765101
45,3,120,0.201342282
45,4,120,0.174496644
45,5,120,0.154362416
45,6,120,0.201342282
45,7,120,0.194630872
45,8,120,0.140939597
45,9,120,0.194630872
45,10,120,0.22147651
45,11,130,0.174496644
45,12,120,0.194630872
45,13,120,0.201342282
45,14,120,0.187919463
45,15,130,0.208053691
45,16,140,0.234899329
45,17,130,0.187919463
45,18,140,0.174496644
45,19,120,0.140939597
45,20,120,0.161073826
45,21,120,0.147651007
45,22,110,0.100671141
45,23,120,0.11409396
45,24,120,0.067114094
46,1,120,0.060402685
46,2,90,0.046979866
46,3,110,0.060402685
46,4,10,0.013422819
46,5,130,0
46,6,130,0
46,7,160,0
46,8,190,0
46,9,110,0.087248322
46,10,100,0.087248322
46,11,130,0.147651007
46,12,130,0.154362416
46,13,140,0.22147651
46,14,140,0.208053691
46,15,130,0.201342282
46,16,140,0.22147651
46,17,130,0.181208054
46,18,120,0.187919463
46,19,120,0.120805369
46,20,120,0.11409396
46,21,120,0.080536913
46,22,120,0.120805369
46,23,120,0.006711409
46,24,120,0.040268456
47,1,120,0
47,2,130,0.020134228
47,3,140,0.073825503
47,4,120,0.127516779
47,5,130,0.026845638
47,6,130,0
47,7,130,0
47,8,120,0
47,9,120,0.013422819
47,10,20,0.073825503
47,11,10,0.154362416
47,12,120,0.11409396
47,13,130,0.161073826
47,14,130,0.22147651
47,15,130,0.234899329
47,16,120,0.248322148
47,17,120,0.214765101
47,18,120,0.201342282
47,19,110,0.268456376
47,20,120,0.187919463
47,21,120,0.214765101
47,22,120,0.174496644
47,23,120,0.208053691
47,24,120,0.208053691
48,1,120,0.201342282
48,2,110,0.147651007
48,3,120,0.154362416
48,4,130,0.073825503
48,5,80,0.080536913
48,6,100,0.053691275
48,7,110,0.046979866
48,8,110,0.060402685
48,9,,
48,10,100,0.120805369
48,11,130,0.134228188
48,12,130,0.187919463
48,13,130,0.208053691
48,14,,
48,15,140,0.201342282
48,16,130,0.187919463
48,17,120,0.201342282
48,18,120,0.228187919
48,19,120,0.187919463
48,20,120,0.154362416
48,21,120,0.120805369
48,22,110,0.100671141
48,23,110,0.087248322
48,24,120,0.080536913
49,1,90,0.127516779
49,2,110,0.127516779
49,3,80,0.134228188
49,4,80,0.080536913
49,5,60,0.073825503
49,6,50,0.127516779
49,7,20,0.067114094
49,8,40,0.11409396
49,9,120,0.100671141
49,10,130,0.073825503
49,11,90,0.187919463
49,12,110,0.154362416
49,13,120,0.140939597
49,14,30,0.033557047
49,15,130,0.020134228
49,16,100,0.10738255
49,17,110,0.134228188
49,18,110,0.134228188
49,19,110,0.093959732
49,20,110,0.127516779
49,21,100,0.11409396
49,22,100,0.140939597
49,23,90,0.167785235
49,24,90,0.134228188
50,1,80,0.147651007
50,2,80,0.167785235
50,3,90,0.167785235
50,4,90,0.120805369
50,5,90,0.100671141
50,6,90,0.11409396
50,7,80,0.174496644
50,8,90,0.248322148
50,9,90,0.208053691
50,10,80,0.248322148
50,11,90,0.214765101
50,12,,
50,13,80,0.194630872
50,14,90,0.255033557
50,15,90,0.234899329
50,16,80,0.241610738
50,17,90,0.248322148
50,18,100,0.275167785
50,19,100,0.255033557
50,20,100,0.281879195
